Item,Category,Cost,Notes,Packed,Priority,Quantity,Status,Where to Buy
"Fit-Flip Microfibre Towel (50 x 100 cm, dark grey)",Sleep & Refuge,14.24,"Compact, ultralight, quick-drying microfiber towel for gym/beach/swimming/travel/pool.",No,Recommended,1,Bought,http://Amazon.es — Paraboo
Passport/ID,Electronics Docs & Money,,"Crossing France, Italy, Switzerland",No,Essential,1,Bought,TBD
Pen knife,Navigation & Safety,,,No,Optional,1,Need to Buy,TBD
"Power bank 10,000 mAh",Electronics Docs & Money,,,No,Recommended,1,Bought,TBD
Paper map,Navigation & Safety,,,No,Essential,1,Bought,TBD
Compass,Navigation & Safety,,,No,Recommended,1,Bought,TBD
Whistle,Navigation & Safety,,For each member of group,No,Essential,1,Bought,TBD
Plasters,,,,No,,,Not Bringing,
Triangular bandage,,,,No,,,Not Bringing,
Gauze & medical tape,,,,No,,,Need to Buy,
Antiseptic wipes,,,,No,,,Need to Buy,
COMPEED medium blister plasters (2 x 12 pack),First Aid & Foot Care,16.65,Hydrocolloid anti-rash/blister dressing; purchased as 2 packs of 12 plasters.,No,Essential,,Bought,http://Amazon.es
Anti-inflammatory gel,First Aid & Foot Care,,,No,Recommended,1,Need to Buy,TBD
Antiseptic cream,,,,No,,,Need to Buy,
Bandage,,,,No,,,Need to Buy,
Scissors & tweezers,,,,No,,,Bought,
Arnica oil,,,For massaging aching legs & feet,No,,,Need to Buy,
Ibuprofen / anti-inflammatories,First Aid & Foot Care,,,No,Essential,,Need to Buy,TBD
Toothbrush + travel toothpaste,Toiletries & Hygiene,,Travel sized,No,Essential,,Bought,TBD
SPF lip balm,Headwear & Sun,,,No,Recommended,1,Need to Buy,TBD
Electrolyte tablets,Hydration & Food,,Dioralyte or similar,No,Recommended,1,Need to Buy,TBD
Personal meds,First Aid & Foot Care,,If applicable,No,Essential,,Not Bringing,TBD
Sunscreen SPF 50,Headwear & Sun,,,No,Essential,1,Bought,TBD
Anti-chafe balm,First Aid & Foot Care,,Scholls or similar,No,Recommended,1,Need to Buy,TBD
Travel deodorant,Toiletries & Hygiene,,,No,Essential,,Bought,TBD
Pain killers (paracetamol),First Aid & Foot Care,,,No,Recommended,,Bought,TBD
Athletic/kinesio tape,Poles & Descent Support,,To relieve pressure & pain,No,Recommended,1,Not Bringing,TBD
Ziploc/trash bags,Backpack & Load,,To keep things dry,No,Recommended,2,Bought,TBD
Organizer suitcase compression packing cube set (black),Backpack & Load,26.99,Travel organizer/packing cube set with compression bags and dirty/waterproof clothes bag.,No,Optional,2,Bought,http://Amazon.es — Ale-ecommerce
Osprey Ultralight Outdoor Accessories 36L pack liner/sack,Backpack & Load,28.23,"Osprey ultralight 36L accessory sack/liner in black, size S.",No,Recommended,1,Bought,http://Amazon.es
Soap,,,Bar of soap recommended,No,,,Need to Buy,
Foot massage ball,,,Recommended optional luxury,No,,,Not Bringing,
Small binoculars,,,Optional,No,,,Not Bringing,
Biodegradable soap/shampoo bar,Toiletries & Hygiene,,Travel size,No,Recommended,,Bought,TBD
Book or Kindle,,,,No,,,Not Bringing,
Gaffer tape,,,Wrap around pencil; great for preventing blisters,No,,,Not Bringing,
Waterproof map case,,,,No,,,Bought,
Underwear,Hiking Bottoms,,,No,Essential,4,Not Reviewed,TBD
Liner socks,Footwear,,,No,Recommended,2,Not Reviewed,TBD
Lightweight gloves,Insulation,,,No,Recommended,1,Not Reviewed,TBD
Long-sleeve sun shirt,Base & Hiking Tops,,,No,Recommended,1,Bought,TBD
Merino base-layer bottoms,Hiking Bottoms,,,No,Recommended,1,Not Reviewed,TBD
Trekking umbrella,Shell & Rain,,,No,Optional,1,Not Bringing,TBD
Small padlock,Sleep & Refuge,,,No,Recommended,1,Not Bringing,TBD
Foldable tote,Backpack & Load,,,No,Optional,1,Not Bringing,TBD
BODYPROX patellar tendon support strap (2-pack),Poles & Descent Support,14.99,Patellar tendon support straps for hiking/descent support; purchased as a 2-pack.,No,Optional,2,Bought,http://Amazon.es — BODYPROX
Spare pole baskets + tips,Poles & Descent Support,,,No,Recommended,,Not Bringing,TBD
LEWIS-PLAST Complete First Aid Kit (90 pieces),First Aid & Foot Care,10.99,90-piece outdoor first aid kit; European standards compliant.,No,Essential,1,Bought,http://Amazon.es
Water purification tablets/filter,Hydration & Food,,,No,Recommended,1,Not Reviewed,TBD
MARLOAR collapsible soft flask bottles (2 x 500 ml),Hydration & Food,11.99,"Pack of 2 BPA-free silicone collapsible soft flasks, 500 ml each, blue.",No,Recommended,2,Bought,http://Amazon.es — MARLOAR STORE
Offline maps on phone,Navigation & Safety,,,No,Essential,,Packed,TBD
Hand sanitizer,Toiletries & Hygiene,,,No,Essential,,Bought,TBD
Wet wipes,Toiletries & Hygiene,,,No,Recommended,,Bought,TBD
Toilet paper + sealable bag,Toiletries & Hygiene,,,No,Recommended,,Bought,TBD
Insect repellent,First Aid & Foot Care,,,No,Recommended,1,Not Reviewed,TBD
Universal plug adapter,Electronics Docs & Money,,,No,Essential,1,Not Reviewed,TBD
Cash EUR + CHF + card,Electronics Docs & Money,,,No,Essential,,Not Reviewed,TBD
Booking confirmations saved offline,Electronics Docs & Money,,,No,Essential,,Packed,TBD
